,subject,hemi,labels,x_label,img,GI,streamlengths,qMap
0,601127,L,1,0,hemi-L,3.6910255851339047e-06,1.3200000524520874,359.15232965528236
1,601127,L,1,0,hemi-L,-0.00831724578180607,1.3200000524520874,359.15232965528236
2,601127,L,1,0,hemi-L,1.089591364974192,1.3200000524520874,359.15232965528236
3,601127,L,1,0,hemi-L,3.332356973311762,1.3200000524520874,359.15232965528236
4,601127,L,1,0,hemi-L,0.7645022672324457,1.3200000524520874,366.1285205713587
5,601127,L,1,0,hemi-L,0.5616928071036126,1.3200000524520874,366.1285205713587
6,601127,L,1,0,hemi-L,0.523293511518875,1.3200000524520874,366.1285205713587
7,601127,L,1,0,hemi-L,0.5310968848140006,1.3200000524520874,366.1285205713587
8,601127,L,1,0,hemi-L,2.500845764018623,1.3200000524520874,366.1285205713587
9,601127,L,1,0,hemi-L,0.7225129174653021,0.48000001907348633,342.22806046495486
10,601127,L,1,0,hemi-L,0.6143190839655696,0.48000001907348633,342.22806046495486
11,601127,L,1,0,hemi-L,0.6090906809972356,0.48000001907348633,350.258501752829
12,601127,L,1,0,hemi-L,0.6001401342415659,0.48000001907348633,350.258501752829
13,601127,L,1,0,hemi-L,0.5932596490302464,0.48000001907348633,350.258501752829
14,601127,L,1,0,hemi-L,0.588449225363014,0.42000001668930054,350.258501752829
15,601127,L,1,0,hemi-L,0.5855232521547424,0.42000001668930054,332.71017905246254
16,601127,L,1,0,hemi-L,0.5887508421383637,0.42000001668930054,332.71017905246254
17,601127,L,1,0,hemi-L,0.5891148694969917,0.42000001668930054,327.19382679992384
18,601127,L,1,0,hemi-L,0.5862158940389394,0.42000001668930054,327.19382679992384
19,601127,L,1,0,hemi-L,0.5866912391839194,0.45000001788139343,313.5725889772415
20,601127,L,1,0,hemi-L,0.5912523640325292,0.42000001668930054,313.5725889772415
21,601127,L,1,0,hemi-L,0.5998370001675566,0.36000001430511475,314.90786936096555
22,601127,L,1,0,hemi-L,0.6124438851496795,0.36000001430511475,314.90786936096555
23,601127,L,1,0,hemi-L,0.629092761931434,0.30000001192092896,314.90786936096555
24,601127,L,1,0,hemi-L,0.6497750518894199,0.33000001311302185,314.90786936096555
25,601127,L,1,0,hemi-L,0.6744816472243071,0.36000001430511475,314.90786936096555
26,601127,L,1,0,hemi-L,0.7032115520167436,0.48000001907348633,320.3500382946136
27,601127,L,1,0,hemi-L,0.7359648798886977,0.6000000238418579,312.3270970903742
28,601127,L,1,0,hemi-L,0.77274117119772,0.7200000286102295,312.3270970903742
29,601127,L,1,0,hemi-L,0.8135462343910994,0.8400000333786011,312.3270970903742
30,601127,L,1,0,hemi-L,0.8584782178504642,0.870000034570694,312.3270970903742
31,601127,L,1,0,hemi-L,0.9114743952185731,0.8400000333786011,312.6956679506471
32,601127,L,1,0,hemi-L,0.9038189095932266,0.8400000333786011,312.6956679506471
33,601127,L,1,0,hemi-L,0.8844557245299695,0.8100000321865082,312.6956679506471
34,601127,L,1,0,hemi-L,0.8818041974843097,0.7800000309944153,312.6956679506471
35,601127,L,1,0,hemi-L,0.88646078756043,0.7800000309944153,335.15730876025225
36,601127,L,1,0,hemi-L,0.8142111136874722,0.7800000309944153,335.15730876025225
37,601127,L,1,0,hemi-L,0.7692016801430117,0.7200000286102295,335.15730876025225
38,601127,L,1,0,hemi-L,0.7462858891223493,0.7200000286102295,335.15730876025225
39,601127,L,1,0,hemi-L,0.7070282262641151,1.3200000524520874,324.2768241224819
40,601127,L,1,0,hemi-L,0.641495930036125,1.3200000524520874,349.6039718314449
41,601127,L,1,0,hemi-L,0.5905474308239046,1.3200000524520874,349.6039718314449
42,601127,L,1,0,hemi-L,0.5610155629285103,1.2600000500679016,349.6039718314449
43,601127,L,1,0,hemi-L,0.538061737481897,1.2600000500679016,349.6039718314449
44,601127,L,1,0,hemi-L,0.5183275511836437,1.2000000476837158,349.6039718314449
45,601127,L,1,0,hemi-L,0.5023000551657217,1.2000000476837158,349.6039718314449
46,601127,L,1,0,hemi-L,0.489970452573435,1.14000004529953,372.4744908276941
47,601127,L,1,0,hemi-L,0.48134045802889636,1.14000004529953,372.4744908276941
48,601127,L,1,0,hemi-L,0.47642164536139553,1.0800000429153442,350.20382561771095
49,601127,L,1,0,hemi-L,0.47520704099489297,1.0800000429153442,350.20382561771095
50,601127,L,1,0,hemi-L,0.47768902828210946,1.0800000429153442,350.20382561771095
51,601127,L,1,0,hemi-L,0.48387600286126786,1.0200000405311584,350.20382561771095
